date,label,bow_vector
2025-12-01 18:55:00,日本 台湾,14571:1 59482:1 31651:3 13141:2 53993:1 2986:1 9700:1 4583:1 28782:2 40687:1 55506:1 15804:1 43912:1 44143:1 40336:1 58195:1 21790:1 27133:2 13689:1 31639:1 58139:1 12612:1 12450:1 55119:1 58625:1 31403:1 31798:1 15834:1 23587:1 9450:1 7723:1 11688:1 54304:1 2782:1 44688:1 43097:1 11726:1 12630:1 24806:1 47250:1 3637:1 28763:1 48741:1 16628:1 31800:1 20685:1 47582:1 26888:1 4932:1 24081:1 19330:1
2025-12-01 18:52:00,日本 台湾,50725:2 14571:2 17389:1 59482:3 31651:3 56418:1 17102:3 43168:1 2986:2 13327:1 4583:1 13936:1 44143:1 27799:1 16918:1 3696:3 26339:1 3216:1 30238:1 47215:1 21332:1 37005:1 31958:2 58139:1 31403:1 31798:2 15834:2 7327:1 28090:1 33114:1 13714:1 31575:1 13539:1 30074:1 33682:2 50883:1 21706:1 4404:1 59255:1 29086:1 24928:1 12711:2 20334:2 30620:2 54121:1 54404:2 46701:1 48718:1 44800:1 47209:1 21303:1 43406:1 17128:1 24899:1 37832:1 46196:1 58577:1 18163:1
2025-12-01 18:51:00,日本 台湾,31651:1 16671:2 21301:1 59672:2 57011:1 20074:1
2025-12-01 18:50:00,日本 台湾,50725:5 59010:3 3218:1 14571:2 59482:2 39519:1 896:1 26464:1 31651:9 16956:4 35290:4 16304:3 39625:2 489:2 26592:1 56418:2 2986:1 11680:4 45489:4 2354:1 23912:1 31810:1 15684:1 48535:1 6412:1 58545:1 20182:1 32936:2 20414:1 13130:2 4487:1 23348:4 29747:6 25093:1 50114:1 29373:1 44153:1 8422:1 55924:2 7141:1 54081:2 4480:1 25217:1 18033:1 29884:1 59667:1 13492:1 51738:1 16852:1 16909:1 44746:1 24536:2 38858:1 13689:1 31548:1 9120:1 57451:1 26230:1 32097:1 16919:1 6902:1 46346:1 28200:2 6532:1 18129:1 38672:1 35475:1 111:1 4430:1 51332:1 13940:2 26702:1 19899:2 56913:1 30024:1 42105:1 31399:1 39417:1 52659:1 53344:1 46234:1 10783:1
2025-12-01 22:51:00,日本 台湾,50725:1 59010:1 14566:1 14571:1 59482:3 39519:1 896:1 26464:1 31651:1 2986:2 2196:1 9934:1 43787:1 40687:1 32936:2 44143:1 8645:1 30917:2 35439:1 44349:1 18426:2 12020:1 53496:1 34051:2 30724:2 11225:1 51082:1 54124:1 29333:1 1292:1 38860:1 53504:1 31977:1
2025-12-01 22:49:00,日本 台湾,39282:1 50677:1 50835:2 31651:3 16956:1 35290:1 16304:1 39625:1 489:1 37450:1 27776:1 11785:1 19556:1 55537:1 23774:1 45812:1 1760:1 49009:1 996:1 36958:1 4456:1
2025-12-01 22:46:00,日本 台湾,50725:2 3218:1 14571:1 59482:1 31651:3 35290:1 56418:2 2986:2 13327:1 5454:1 32936:1 20414:1 5049:4 48055:1 20776:1 17262:1 36060:1 3216:1 24081:2 11225:2 16648:1 38676:1 13999:2 34699:1 170:1 9092:1 54420:1 40037:1 26656:2 29545:1 36188:2 51531:1 38693:1 37328:1 30632:1 24264:1 42200:1 17849:1 32524:1 36789:2 6646:1 3635:2 50519:1 33713:1 38668:2 30076:1 51488:1 38985:1 39424:1 37465:1 39264:1 43061:1 48279:1 35287:1 9546:1 9137:1 9965:1 37287:1
2025-12-01 22:46:00,日本 台湾,14571:1 17389:1 33333:1 31651:1 56117:1 31455:1 40515:1 51447:1 46377:1 56344:1
2025-12-01 22:42:00,日本 台湾,39282:1 50677:1 50835:2 31651:2 2196:1 9934:1 43787:1 40687:1 37450:1 27776:1 11785:1 40685:2 55537:1 996:1 36958:1 4456:1 3778:1 24640:1 59441:1 32061:1
2025-12-01 22:40:00,日本 台湾,14571:1 31651:1 5454:1 31095:1 10546:2 32607:1 12020:1 37005:1 13852:1 32160:1 19101:1 33516:1 11817:1 38526:2 5471:3 36831:1 51194:4 21147:1 7474:1 57395:1 6960:1 3607:1 746:1 39524:1 53234:1 37045:1 17610:1 45557:1 53144:1 14729:1 21895:1 5262:1 43296:1 30179:1 52084:1 30246:1 28943:1 54583:1 22301:1 46354:1 22576:2 59554:2 32894:2 32893:2 8577:2 57996:2 8840:2 8845:1 10692:1 34305:1 22579:1 30178:2 34304:2 38525:1 37483:1 19480:1 25514:1 10238:1 38837:1
2025-12-01 22:40:00,日本 台湾,50725:5 59010:3 3218:1 14571:2 59482:2 39519:1 896:1 26464:1 31651:9 16956:4 35290:4 16304:3 39625:2 489:2 26592:1 56418:2 2986:1 11680:4 45489:4 2354:1 23912:1 31810:1 15684:1 48535:1 6412:1 58545:1 20182:1 32936:2 20414:1 13130:2 4487:1 23348:4 29747:6 13517:1 25093:1 50114:1 29373:1 44153:1 8422:1 55924:2 7141:1 31095:1 54081:2 4480:1 25217:1 18033:1 29884:1 59667:1 13492:1 51738:1 16852:1 16909:1 44746:1 24536:2 38858:1 13689:1 31548:1 9120:1 57451:1 26230:1 32097:1 16919:1 6902:1 46346:1 28200:2 6532:1 18129:1 38672:1 35475:1 111:1 4430:1 51332:1 13940:2 26702:1 19899:2 56913:1 30024:1 42105:1 31399:1 39417:1 52659:1 53344:1 37284:1
2025-12-01 19:51:00,日本 台湾,14571:1 31651:1 58295:2 41355:2 3049:1 58559:1 36704:1 42346:1 17704:1 55529:1 22517:1 19809:1 8276:1 2279:1
2025-12-01 18:41:00,日本 台湾,14571:1 31651:1 39398:2 31621:1 27368:1 217:2 36732:1 40714:1 28848:1 1945:1
2025-12-01 18:41:00,日本 台湾,14571:1 31651:1 2986:1 60208:1 36188:1 50446:1 39348:1 33461:1 51643:1 33257:1 54228:1 46903:1 29410:1 51188:1
2025-12-01 18:37:00,日本 台湾,39282:1 50677:1 50835:1 46533:1 23348:1 59280:1 46903:1 17889:1 29751:2 31530:1 26564:1 30224:1 3457:1 13839:1 40309:1
